"Designator,""Footprint"",""Mid X"",""Mid Y"",""Ref X"",""Ref Y"",""Pad X"",""Pad Y"",""Layer"",""Rotation"",""Comment"""

"C52,""0805_ReflowSoldering_CAP"",""-756.25mil"",""1843.75mil"",""-756.25mil"",""1843.75mil"",""-720.25mil"",""1843.75mil"",""B"",""180.00"",""C_0805_NPO_5%_22P-100V"""
"C51,""0805_ReflowSoldering_CAP"",""-131.25mil"",""687.5mil"",""-131.25mil"",""687.5mil"",""-131.25mil"",""651mil"",""B"",""90.00"",""C_0805_NPO_5%_470P-100V"""
"R33,""0603_ReflowSoldering_RES"",""-415mil"",""575mil"",""-415mil"",""575mil"",""-415mil"",""548.6mil"",""B"",""90.00"",""RES_0603_1%_100PPM_4.7K"""
"C3,""0603_ReflowSoldering_CAP"",""-781.25mil"",""1550mil"",""-781.25mil"",""1550mil"",""-754.85mil"",""1550mil"",""B"",""180.00"",""C_0603_X7R_10%_10N-50V"""
"C4,""0805_ReflowSoldering_CAP"",""-593.75mil"",""1550mil"",""-593.75mil"",""1550mil"",""-593.75mil"",""1514mil"",""B"",""90.00"",""C_0805_X5R_10%_10U-25V"""
"C5,""0603_ReflowSoldering_CAP"",""-668.75mil"",""1562.5mil"",""-668.75mil"",""1562.5mil"",""-668.75mil"",""1588.9mil"",""B"",""270.00"",""C_0603_X7R_10%_100N-50V"""
"C6,""0805_ReflowSoldering_CAP"",""-986mil"",""1475mil"",""-986mil"",""1475mil"",""-1022mil"",""1475mil"",""B"",""360.00"",""C_0805_X5R_10%_10U-16V"""
"C7,""0805_ReflowSoldering_CAP"",""-1950mil"",""1798.5mil"",""-1950mil"",""1798.5mil"",""-1950mil"",""1834.5mil"",""B"",""270.00"",""C_0805_X5R_10%_10U-16V"""
"C8,""0603_ReflowSoldering_CAP"",""-2028.953mil"",""1817.188mil"",""-2028.953mil"",""1817.188mil"",""-2028.953mil"",""1790.788mil"",""B"",""90.00"",""C_0603_X7R_10%_100N-50V"""
"C9,""0805_ReflowSoldering_CAP"",""-2287.5mil"",""1475mil"",""-2287.5mil"",""1475mil"",""-2287.5mil"",""1511mil"",""B"",""270.00"",""C_0805_X5R_10%_10U-16V"""
"C10,""0603_ReflowSoldering_CAP"",""-25mil"",""725mil"",""-25mil"",""725mil"",""1.4mil"",""725mil"",""B"",""180.00"",""C_0603_X7R_10%_100N-50V"""
"C11,""0805_ReflowSoldering_CAP"",""-750mil"",""1162.5mil"",""-750mil"",""1162.5mil"",""-750mil"",""1198.5mil"",""B"",""270.00"",""C_0805_X5R_10%_10U-16V"""
"C12,""0603_ReflowSoldering_CAP"",""-837.5mil"",""1043.75mil"",""-837.5mil"",""1043.75mil"",""-837.5mil"",""1070.15mil"",""B"",""270.00"",""C_0603_X7R_10%_100N-50V"""
"C13,""0805_ReflowSoldering_CAP"",""-1100mil"",""1412.5mil"",""-1100mil"",""1412.5mil"",""-1100mil"",""1448.5mil"",""B"",""270.00"",""C_0805_X5R_10%_10U-16V"""
"C14,""0603_ReflowSoldering_CAP"",""-1975mil"",""670mil"",""-1975mil"",""670mil"",""-2001.4mil"",""670mil"",""B"",""360.00"",""C_0603_X7R_10%_100N-50V"""
"C15,""0603_ReflowSoldering_CAP"",""-1668.75mil"",""1031.25mil"",""-1668.75mil"",""1031.25mil"",""-1695.15mil"",""1031.25mil"",""B"",""360.00"",""C_0603_X7R_10%_100N-50V"""
"C16,""0603_ReflowSoldering_CAP"",""-1768.75mil"",""1131.25mil"",""-1768.75mil"",""1131.25mil"",""-1768.75mil"",""1157.65mil"",""B"",""270.00"",""C_0603_X7R_10%_100N-50V"""
"C17,""0603_ReflowSoldering_CAP"",""-1668.75mil"",""956.25mil"",""-1668.75mil"",""956.25mil"",""-1695.15mil"",""956.25mil"",""B"",""360.00"",""C_0603_X7R_10%_10N-50V"""
"C19,""0805_ReflowSoldering_CAP"",""237.5mil"",""1012.5mil"",""237.5mil"",""1012.5mil"",""237.5mil"",""976.5mil"",""B"",""90.00"",""C_0805_NPO_5%_470P-100V"""
"C20,""1206_ReflowSoldering_CAP"",""-505mil"",""1600mil"",""-505mil"",""1600mil"",""-505mil"",""1657.087mil"",""B"",""270.00"",""C_1206_X5R_20%_22U-25V"""
"C21,""0603_ReflowSoldering_CAP"",""-206.583mil"",""1118.75mil"",""-206.583mil"",""1118.75mil"",""-180.183mil"",""1118.75mil"",""B"",""180.00"",""C_0603_X7R_10%_100N-50V"""
"C22,""0603_ReflowSoldering_CAP"",""-515mil"",""1445mil"",""-515mil"",""1445mil"",""-515mil"",""1418.6mil"",""B"",""90.00"",""C_0603_X7R_10%_100N-50V"""
"C23,""0805_ReflowSoldering_CAP"",""-550mil"",""1225mil"",""-550mil"",""1225mil"",""-586.5mil"",""1225mil"",""B"",""360.00"",""C_0805_X5R_10%_1U-25V"""
"C24,""0603_ReflowSoldering_CAP"",""-165mil"",""975mil"",""-165mil"",""975mil"",""-138.6mil"",""975mil"",""B"",""180.00"",""C_0603_X7R_10%_100N-50V"""
"C25,""0603_ReflowSoldering_CAP"",""-162.5mil"",""1050mil"",""-162.5mil"",""1050mil"",""-136.1mil"",""1050mil"",""B"",""180.00"",""C_0603_X7R_10%_100N-50V"""
"C26,""0805_ReflowSoldering_CAP"",""-387.5mil"",""850mil"",""-387.5mil"",""850mil"",""-387.5mil"",""814mil"",""B"",""90.00"",""C_0805_NPO_5%_470P-100V"""
"C27,""0603_ReflowSoldering_CAP"",""-1125mil"",""625mil"",""-1125mil"",""625mil"",""-1125mil"",""598.6mil"",""B"",""90.00"",""C_0603_X5R_10%_4.7U-6.3V"""
"C28,""0603_ReflowSoldering_CAP"",""-1037.5mil"",""625mil"",""-1037.5mil"",""625mil"",""-1037.5mil"",""598.6mil"",""B"",""90.00"",""C_0603_X7R_10%_100N-50V"""
"C29,""0603_ReflowSoldering_CAP"",""-1050mil"",""65mil"",""-1050mil"",""65mil"",""-1050mil"",""38.6mil"",""B"",""90.00"",""C_0603_X5R_10%_4.7U-6.3V"""
"C30,""0603_ReflowSoldering_CAP"",""-1140mil"",""65mil"",""-1140mil"",""65mil"",""-1140mil"",""38.6mil"",""B"",""90.00"",""C_0603_X7R_10%_100N-50V"""
"C31,""0603_ReflowSoldering_CAP"",""-582.5mil"",""575mil"",""-582.5mil"",""575mil"",""-582.5mil"",""548.6mil"",""B"",""90.00"",""C_0603_X5R_10%_4.7U-6.3V"""
"C32,""0603_ReflowSoldering_CAP"",""-487.5mil"",""575mil"",""-487.5mil"",""575mil"",""-487.5mil"",""548.6mil"",""B"",""90.00"",""C_0603_X7R_10%_100N-50V"""
"C33,""0603_ReflowSoldering_CAP"",""-412.5mil"",""306.25mil"",""-412.5mil"",""306.25mil"",""-412.5mil"",""279.85mil"",""B"",""90.00"",""C_0603_X5R_10%_4.7U-6.3V"""
"C34,""0603_ReflowSoldering_CAP"",""-500mil"",""306.25mil"",""-500mil"",""306.25mil"",""-500mil"",""279.85mil"",""B"",""90.00"",""C_0603_X7R_10%_100N-50V"""
"C35,""0603_ReflowSoldering_CAP"",""-857.65mil"",""25mil"",""-857.65mil"",""25mil"",""-831.25mil"",""25mil"",""B"",""180.00"",""C_0603_X5R_10%_4.7U-6.3V"""
"C36,""0603_ReflowSoldering_CAP"",""-406.25mil"",""181.25mil"",""-406.25mil"",""181.25mil"",""-406.25mil"",""207.65mil"",""B"",""270.00"",""C_0603_X7R_10%_100N-50V"""
"C37,""0603_ReflowSoldering_CAP"",""-410mil"",""426.4mil"",""-410mil"",""426.4mil"",""-410mil"",""452.8mil"",""B"",""270.00"",""C_0603_X5R_10%_4.7U-6.3V"""
"C38,""0603_ReflowSoldering_CAP"",""-500mil"",""425mil"",""-500mil"",""425mil"",""-500mil"",""451.4mil"",""B"",""270.00"",""C_0603_X7R_10%_100N-50V"""
"C39,""0805_ReflowSoldering_CAP"",""-900mil"",""662.5mil"",""-900mil"",""662.5mil"",""-864mil"",""662.5mil"",""B"",""180.00"",""C_0805_NPO_5%_22P-100V"""
"C40,""0805_ReflowSoldering_CAP"",""-762.5mil"",""662.5mil"",""-762.5mil"",""662.5mil"",""-798.5mil"",""662.5mil"",""B"",""360.00"",""C_0805_NPO_5%_22P-100V"""
"C41,""0603_ReflowSoldering_CAP"",""-500mil"",""181.25mil"",""-500mil"",""181.25mil"",""-500mil"",""207.65mil"",""B"",""270.00"",""C_0603_X7R_10%_100N-50V"""
"C42,""0603_ReflowSoldering_CAP"",""-1365mil"",""335mil"",""-1365mil"",""335mil"",""-1365mil"",""308.6mil"",""B"",""90.00"",""C_0603_X5R_10%_4.7U-6.3V"""
"C43,""0603_ReflowSoldering_CAP"",""-1480mil"",""335mil"",""-1480mil"",""335mil"",""-1480mil"",""308.6mil"",""B"",""90.00"",""C_0603_X7R_10%_100N-50V"""
"C44,""0805_ReflowSoldering_CAP"",""-2040mil"",""1166.024mil"",""-2040mil"",""1166.024mil"",""-2040mil"",""1202.524mil"",""B"",""270.00"",""C_0805_X5R_10%_1U-25V"""
"D1,""SOT23_3L_ReflowSoldering"",""-850mil"",""1443.75mil"",""-850mil"",""1443.75mil"",""-811.614mil"",""1400.442mil"",""B"",""270.00"",""BZX84C2V7"""
"D2,""SOT23_3L_ReflowSoldering"",""-712.5mil"",""1443.75mil"",""-712.5mil"",""1443.75mil"",""-674.114mil"",""1400.442mil"",""B"",""270.00"",""BAT54C"""
"D3,""SOD323_ReflowSoldering"",""-956.25mil"",""1818.75mil"",""-956.25mil"",""1818.75mil"",""-909.99mil"",""1818.75mil"",""B"",""360.00"",""PMEG2020AEA"""
"D4,""SOD323_ReflowSoldering"",""175mil"",""670mil"",""175mil"",""670mil"",""221.26mil"",""670mil"",""B"",""360.00"",""PMEG2020AEA"""
"D7,""DO214AA-SMB-NP_ReflowSoldering"",""118.75mil"",""1743.75mil"",""118.75mil"",""1743.75mil"",""33.75mil"",""1743.75mil"",""B"",""180.00"",""SMBJ16CA"""
"D8,""SOD323_ReflowSoldering"",""180mil"",""1125mil"",""180mil"",""1125mil"",""226.26mil"",""1125mil"",""B"",""360.00"",""PMEG4010CEJ"""
"D9,""SOD323_ReflowSoldering"",""180mil"",""1200mil"",""180mil"",""1200mil"",""226.26mil"",""1200mil"",""B"",""360.00"",""PMEG4010CEJ"""
"J2,""BVIS_02_WAGO_256-402/333-000"",""556.693mil"",""1436.811mil"",""556.693mil"",""1436.811mil"",""655.118mil"",""1535.236mil"",""B"",""270.00"",""BLEV_CI_45D_5.08_02_256-402/333-000"""
"J3,""SUP_MICRO_SD_BL_PUSH-PUSH_693071010811+USD"",""-61.221mil"",""332.086mil"",""242.913mil"",""334.252mil"",""65.748mil"",""256.692mil"",""B"",""90.00"",""SUP_MICRO_SD_CARD_BL_PUSH-PUSH_693071010811"""
"L1,""SELF_WE-TPC_4.8x4.78_(type4828)"",""-1025mil"",""1656.25mil"",""-1025mil"",""1656.25mil"",""-1025mil"",""1725.148mil"",""B"",""270.00"",""SELF_10UH_1.19A_744043100"""
"L2,""1206_ReflowSoldering_FERRITE"",""-593.75mil"",""1712.5mil"",""-593.75mil"",""1712.5mil"",""-593.75mil"",""1769.587mil"",""B"",""270.00"",""IND_FERRITE_1206_74279218"""
"L4,""SELF_WE-SL2_9.2x6"",""118.75mil"",""1456.25mil"",""118.75mil"",""1456.25mil"",""68.75mil"",""1603.888mil"",""B"",""270.00"",""IND_FERRITE_WE-SL2_2X10UH"""
"Q1,""QUARTZ_HC49_11.5X5_CMS"",""-824.508mil"",""812.5mil"",""-824.508mil"",""812.5mil"",""-1011.516mil"",""812.5mil"",""B"",""360.00"",""QUARTZ_HC49/4HSMX_12M"""
"R1,""0603_ReflowSoldering_RES"",""-965mil"",""970mil"",""-965mil"",""970mil"",""-938.6mil"",""970mil"",""B"",""180.00"",""RES_0603_1%_100PPM_47K"""
"R2,""0603_ReflowSoldering_RES"",""-1087.5mil"",""1050mil"",""-1087.5mil"",""1050mil"",""-1061.1mil"",""1050mil"",""B"",""180.00"",""RES_0603_1%_100PPM_47K"""
"R3,""0603_ReflowSoldering_RES"",""-670mil"",""1675mil"",""-670mil"",""1675mil"",""-670mil"",""1701.4mil"",""B"",""270.00"",""RES_0603_1%_100PPM_10K"""
"R4,""0603_ReflowSoldering_RES"",""-775mil"",""1762.5mil"",""-775mil"",""1762.5mil"",""-748.6mil"",""1762.5mil"",""B"",""180.00"",""RES_0603_1%_100PPM_10K"""
"R5,""0603_ReflowSoldering_RES"",""-875mil"",""1650mil"",""-875mil"",""1650mil"",""-875mil"",""1676.4mil"",""B"",""270.00"",""RES_0603_1%_100PPM_71.5K"""
"R6,""0603_ReflowSoldering_RES"",""-2149mil"",""1801mil"",""-2149mil"",""1801mil"",""-2175.4mil"",""1801mil"",""B"",""360.00"",""RES_0603_1%_100PPM_120R"""
"R7,""0603_ReflowSoldering_RES"",""-2275mil"",""1737.5mil"",""-2275mil"",""1737.5mil"",""-2275mil"",""1711.1mil"",""B"",""90.00"",""RES_0603_1%_100PPM_180R"""
"R8,""0603_ReflowSoldering_RES"",""-2275mil"",""1612.5mil"",""-2275mil"",""1612.5mil"",""-2275mil"",""1586.1mil"",""B"",""90.00"",""RES_0603_1%_100PPM_180R"""
"R9,""0603_ReflowSoldering_RES"",""-975mil"",""1393.75mil"",""-975mil"",""1393.75mil"",""-948.6mil"",""1393.75mil"",""B"",""180.00"",""RES_0603_1%_100PPM_120R"""
"R10,""0603_ReflowSoldering_RES"",""-750mil"",""1300mil"",""-750mil"",""1300mil"",""-750mil"",""1273.6mil"",""B"",""90.00"",""RES_0603_1%_100PPM_180R"""
"R12,""0603_ReflowSoldering_RES"",""-250mil"",""1280mil"",""-250mil"",""1280mil"",""-250mil"",""1253.6mil"",""B"",""90.00"",""RES_0603_1%_100PPM_12R"""
"R13,""0603_ReflowSoldering_RES"",""-1975mil"",""1030mil"",""-1975mil"",""1030mil"",""-1948.6mil"",""1030mil"",""B"",""180.00"",""RES_0603_1%_100PPM_0R"""
"R14,""0603_ReflowSoldering_RES"",""-1795mil"",""960mil"",""-1795mil"",""960mil"",""-1821.4mil"",""960mil"",""B"",""360.00"",""RES_0603_1%_100PPM_82K"""
"R15,""0603_ReflowSoldering_RES"",""-1668.75mil"",""1181.25mil"",""-1668.75mil"",""1181.25mil"",""-1642.35mil"",""1181.25mil"",""B"",""180.00"",""RES_0603_1%_100PPM_2.2K"""
"R16,""0603_ReflowSoldering_RES"",""-1668.75mil"",""1106.25mil"",""-1668.75mil"",""1106.25mil"",""-1695.15mil"",""1106.25mil"",""B"",""360.00"",""RES_0603_1%_100PPM_4.7K"""
"R17,""0603_ReflowSoldering_RES"",""-1795mil"",""1030mil"",""-1795mil"",""1030mil"",""-1768.6mil"",""1030mil"",""B"",""180.00"",""RES_0603_1%_100PPM_4.7K"""
